Episode,Gamma,Tolerances,Initial Policy,Average time,Average reward
100,0.6,0.001,0,690.1782975971702,0.5855999999999998
500,0.6,0.001,0,684.9855911933399,0.5724399999999998
1000,0.6,0.001,0,684.9845819271964,0.5744799999999998
5000,0.6,0.001,0,687.1660309085255,0.5747359999999999
10000,0.6,0.001,0,693.922580446456,0.5747679999999998
100,0.6,0.001,1,705.4335292304901,0.5855999999999998
500,0.6,0.001,1,700.1220293788401,0.5724399999999998
1000,0.6,0.001,1,700.1099235370027,0.5744799999999998
5000,0.6,0.001,1,702.2768598795615,0.5747359999999999
10000,0.6,0.001,1,709.0168433678654,0.5747679999999998
100,0.6,0.001,2,720.6664081304602,0.5855999999999998
500,0.6,0.001,2,715.2354829812393,0.5724399999999998
1000,0.6,0.001,2,715.2115050603351,0.5744799999999998
5000,0.6,0.001,2,717.3922112990939,0.5747359999999999
10000,0.6,0.001,2,724.1889452399546,0.5747679999999998
100,0.6,0.001,3,736.0270435463602,0.5855999999999998
500,0.6,0.001,3,730.4739346980805,0.5724399999999998
1000,0.6,0.001,3,730.4324073267942,0.5744799999999998
5000,0.6,0.001,3,732.6000875608029,0.5747359999999999
10000,0.6,0.001,3,739.3962583785203,0.5747679999999998
100,0.6,0.001,4,751.3892315989002,0.5855999999999998
500,0.6,0.001,4,745.7140601657804,0.5724399999999998
1000,0.6,0.001,4,745.658448460372,0.5744799999999998
5000,0.6,0.001,4,747.8184709163243,0.5747359999999999
10000,0.6,0.001,4,754.6054738890313,0.5747679999999998
100,0.65,0.1,0,766.7316508909103,0.5855999999999998
500,0.65,0.1,0,760.9332681332404,0.5831599999999999
1000,0.65,0.1,0,760.8603824287069,0.5831799999999998
5000,0.65,0.1,0,762.9934980039992,0.5837599999999998
10000,0.65,0.1,0,769.7415460156425,0.5839759999999998
100,0.65,0.1,1,781.9869726588502,0.5855999999999998
500,0.65,0.1,1,776.066190621734,0.5831599999999999
1000,0.65,0.1,1,775.9728485735847,0.5831799999999998
5000,0.65,0.1,1,778.0902169255762,0.5837599999999998
10000,0.65,0.1,1,784.8610954096132,0.5839759999999998
100,0.65,0.1,2,797.28656495052,0.5855999999999998
500,0.65,0.1,2,791.2458614969104,0.5831599999999999
1000,0.65,0.1,2,791.1416743962789,0.5831799999999998
5000,0.65,0.1,2,793.2316915986535,0.5837599999999998
10000,0.65,0.1,2,799.9318875393996,0.5839759999999998
100,0.65,0.1,3,812.47292182923,0.5855999999999998
500,0.65,0.1,3,806.3115619291776,0.5831599999999999
1000,0.65,0.1,3,806.1923463600713,0.5831799999999998
5000,0.65,0.1,3,808.2952974579334,0.5837599999999998
10000,0.65,0.1,3,815.0604219284238,0.5839759999999998
100,0.65,0.1,4,827.7907015575697,0.5855999999999998
500,0.65,0.1,4,821.5082485302537,0.5831599999999999
1000,0.65,0.1,4,821.3712891167484,0.5831799999999998
5000,0.65,0.1,4,823.4482656709074,0.5837599999999998
10000,0.65,0.1,4,830.2040457094696,0.5839759999999998
100,0.65,0.05,0,843.0710456721598,0.5977999999999999
500,0.65,0.05,0,836.6673528965954,0.5851199999999999
1000,0.65,0.05,0,836.5169510733787,0.5840199999999999
5000,0.65,0.05,0,838.5855847142874,0.5839399999999999
10000,0.65,0.05,0,845.3469388009341,0.5840879999999998
100,0.65,0.05,1,858.3754249204804,0.5977999999999999
500,0.65,0.05,1,851.8506349739739,0.5851199999999999
1000,0.65,0.05,1,851.687127711961,0.5840199999999999
5000,0.65,0.05,1,853.7480001964686,0.5839399999999999
10000,0.65,0.05,1,860.5116294933933,0.5840879999999998
100,0.65,0.05,2,873.6882151833898,0.5977999999999999
500,0.65,0.05,2,867.0426066166741,0.5851199999999999
1000,0.65,0.05,2,866.8691160962761,0.5840199999999999
5000,0.65,0.05,2,868.9064210250348,0.5839399999999999
10000,0.65,0.05,2,875.6669369495485,0.5840879999999998
100,0.65,0.05,3,888.9918960475801,0.5977999999999999
500,0.65,0.05,3,882.2241242274266,0.5851199999999999
