Episode,Gamma,Episode Length,Average time,Average reward
30000,0.7,40,703688.3028478691,0.019466666666666556
35000,0.7,40,703700.7320651081,0.03960399999999989
40000,0.7,40,703716.2350254351,0.05590549999999989
45000,0.7,40,703734.4356098827,0.06713999999999991
50000,0.7,40,703755.1716707763,0.0806019999999999
1000,0.7,50,704456.2642452953,-0.3749200000000002
5000,0.7,50,703895.3922169015,-0.2513600000000002
10000,0.7,50,703830.0977193384,-0.19224400000000016
15000,0.7,50,703814.8362949211,-0.11198133333333349
20000,0.7,50,703813.7225519709,-0.05503400000000014
25000,0.7,50,703819.7963255658,-0.015561600000000128
30000,0.7,50,703830.3151620108,0.010887999999999879
35000,0.7,50,703844.5999690153,0.037383999999999876
40000,0.7,50,703862.1487858201,0.05691999999999988
45000,0.7,50,703882.241584673,0.07144844444444433
50000,0.7,50,703904.6485280666,0.08154599999999988
1000,0.7,60,704606.4516336784,-0.4695400000000003
5000,0.7,60,704045.8163607087,-0.30102000000000023
10000,0.7,60,703981.1397082156,-0.19674200000000022
15000,0.7,60,703966.9505727568,-0.14747333333333354
20000,0.7,60,703968.0520349706,-0.11449900000000021
25000,0.7,60,703976.332991766,-0.08230960000000018
30000,0.7,60,703989.7533493161,-0.05610866666666684
35000,0.7,60,704007.3249359886,-0.03455828571428588
40000,0.7,60,704028.4316013338,-0.020117500000000166
45000,0.7,60,704052.3277576334,0.0015244444444442833
50000,0.7,60,704079.9811995366,0.024155199999999846
1000,0.7,70,704784.2165777243,-0.5033800000000004
5000,0.7,70,704223.5706450389,-0.20390800000000026
10000,0.7,70,704158.5618686454,-0.0307240000000002
15000,0.7,70,704143.00052786,0.021582666666666486
20000,0.7,70,704142.1288041822,0.04813299999999983
25000,0.7,70,704148.6483133489,0.06956239999999983
30000,0.7,70,704160.0358837808,0.08145733333333316
35000,0.7,70,704175.4583490586,0.10208399999999983
40000,0.7,70,704194.1502078925,0.11810799999999985
45000,0.7,70,704215.7162526377,0.12930977777777763
50000,0.7,70,704240.2349129377,0.13904839999999985
