Episode,Gamma,Alpha,Epsilon,Average time,Average reward
2000,0.7,0.35,0.95,373778.9549481749,0.3166299999999998
5000,0.7,0.35,0.95,373669.3016703561,0.4033279999999998
8000,0.7,0.35,0.95,373645.7656447569,0.4401424999999998
9000,0.7,0.35,0.95,373646.2163267137,0.45460888888888873
10000,0.7,0.35,0.95,373648.2248962626,0.46585999999999983
100,0.7,0.35,1.0,377350.1333422173,-2.000800000000001
500,0.7,0.35,1.0,374361.6034327277,-0.3164400000000004
1000,0.7,0.35,1.0,373988.63929744234,0.12451999999999976
2000,0.7,0.35,1.0,373802.87418689503,0.35357999999999984
5000,0.7,0.35,1.0,373692.89009375713,0.48585199999999984
8000,0.7,0.35,1.0,373668.59581126133,0.51857
9000,0.7,0.35,1.0,373668.2301276497,0.5258244444444443
10000,0.7,0.35,1.0,373669.40853337495,0.5299999999999998
100,0.75,0.1,0.7,377371.2157415557,-2.469199999999999
500,0.75,0.1,0.7,374382.7400721024,-0.8640000000000001
1000,0.75,0.1,0.7,374010.204498063,-0.30560000000000026
2000,0.75,0.1,0.7,373825.13253860554,0.012719999999999744
5000,0.75,0.1,0.7,373716.4316422735,0.20566399999999985
8000,0.75,0.1,0.7,373694.270450451,0.2569474999999998
9000,0.75,0.1,0.7,373696.61764179164,0.26291777777777753
10000,0.75,0.1,0.7,373700.86633980006,0.2769239999999997
100,0.75,0.1,0.75,377404.3973434981,-2.338200000000001
500,0.75,0.1,0.75,374415.657503337,-0.8577600000000004
1000,0.75,0.1,0.75,374043.1028160088,-0.28156000000000037
2000,0.75,0.1,0.75,373857.96867862414,0.0468599999999997
5000,0.75,0.1,0.75,373749.1353895061,0.2316159999999997
8000,0.75,0.1,0.75,373726.77906412625,0.29180249999999974
9000,0.75,0.1,0.75,373731.3973791246,0.29872888888888866
10000,0.75,0.1,0.75,373735.33446171647,0.30724999999999975
100,0.75,0.1,0.8,377439.0275713568,-2.4861999999999993
500,0.75,0.1,0.8,374450.05181210284,-1.0610800000000002
1000,0.75,0.1,0.8,374077.54138556216,-0.36826000000000025
